Andorra,2,2012 Summer,Joan Tomas,6,4,2,4,,,,,
Andorra,3,2010 Winter,Lluís Marín Tarroch,6,4,2,3,,,,,
Andorra,4,2008 Summer,Montserrat García,5,3,2,4,,,,,
Andorra,5,2006 Winter,Alex Antor,3,3,0,2,,,,,
Andorra,6,2004 Summer,Hocine Haciane,6,4,2,4,,,,,
Andorra,7,2002 Winter,Victor Gómez,3,2,1,1,,,,,
Andorra,8,2000 Summer,Toni Bernadó,5,3,2,3,,,,,
Andorra,9,1998 Winter,Victor Gómez,3,2,1,1,,,,,
Andorra,10,1996 Summer,Aitor Osorio,8,6,2,5,,,,,
Andorra,11,1994 Winter,Vicky Grau,6,4,2,1,,,,,
Andorra,12,1992 Summer,Maggy Moreno,8,7,1,5,,,,,
Andorra,13,1992 Winter,,5,4,1,1,,,,,
Andorra,14,1988 Summer,Josep Graells,3,3,0,2,,,,,
Andorra,15,1988 Winter,Claudina Rossel,4,2,2,1,,,,,
Andorra,16,1984 Summer,Joan Tomas,2,2,0,1,,,,,
Andorra,17,1984 Winter,,2,2,0,1,,,,,
Andorra,18,1980 Summer,,2,2,0,1,,,,,
Andorra,19,1980 Winter,Carlos Font,3,3,0,1,,,,,
Andorra,20,1976 Summer,Esteve Dolsa,3,3,0,2,,,,,
Andorra,21,1976 Winter,,5,5,0,1,,,,,
Angola,1,2012 Summer,Antónia Moreira,33,4,29,6,,,,,
Angola,2,2008 Summer,João N'Tyamba,32,17,15,6,,,,,
Angola,3,2004 Summer,Ângelo Victoriano,30,14,16,5,,,,,
Angola,4,2000 Summer,Nádia Cruz,30,15,15,5,,,,,
Angola,5,1996 Summer,Palmira de Almeida,28,13,15,5,,,,,
Angola,6,1992 Summer,,28,25,3,6,,,,,
Angola,7,1988 Summer,João N'Tyamba,24,19,5,4,,,,,
Angola,8,1980 Summer,,11,10,1,3,,,,,
Antigua and Barduda,1,2012 Summer,Daniel Bailey,4,2,2,2,,,,,
Antigua and Barduda,2,2008 Summer,James Grayman,5,4,1,2,,,,,
Antigua and Barduda,3,2004 Summer,Daniel Bailey,5,3,2,2,,,,,
Antigua and Barduda,4,2000 Summer,Heather Samuel,3,2,1,2,,,,,
Antigua and Barduda,5,1996 Summer,Heather Samuel,13,8,5,4,,,,,
Antigua and Barduda,6,1992 Summer,,13,9,4,3,,,,,
Antigua and Barduda,7,1988 Summer,Jocelyn Joseph,15,12,3,4,,,,,
Antigua and Barduda,8,1984 Summer,Lester Benjamin,14,10,4,3,,,,,
Antigua and Barduda,9,1976 Summer,,10,10,0,2,,,,,
Australasia,1,1912 Summer,Malcolm Champion,25,23,2,4,2,2,3,7,Harold Hardwick (3 medals)
Australasia,2,1908 Summer,Henry Murray,30,30,0,6,1,2,2,5,Frank Beaurepaire (2 medals)
Argentina,1,2014 Winter,Cristian Simari Birkner,7,4,3,2,,,,,
Argentina,2,2012 Summer,Lucha Aymar,137,97,40,23,1,1,2,4,19 athletes with 1 medal
Argentina,3,2010 Winter,Cristian Simari Birkner,7,4,3,3,,,,,
Argentina,4,2008 Summer,Manu Ginóbili,132,79,53,19,2,,4,6,51 athletes with 1 medal
Argentina,5,2006 Winter,María Belén Simari Birkner,9,5,4,5,,,,,
Argentina,6,2004 Summer,Carlos Espínola,152,106,46,22,2,,4,6,49 athletes with 1 medal
Argentina,7,2002 Winter,Cristian Simari Birkner,11,8,3,5,,,,,
Argentina,8,2000 Summer,Carlos Espínola,143,98,45,21,,2,2,4,20 athletes with 1 medal
Argentina,9,1998 Winter,Carola Calello,2,1,1,2,,,,,
Argentina,10,1996 Summer,Carolina Mariani,179,132,47,20,,2,1,3,20 athletes with 1 medal
Argentina,11,1994 Winter,María Giro,10,4,6,2,,,,,
Argentina,12,1992 Summer,Marcelo Garrafo,84,67,17,17,,,1,1,Javier Frana and Christian Miniussi (1 medal)
Argentina,13,1992 Winter,Carolina Eiras,20,15,5,5,,,,,
Argentina,14,1988 Summer,Gabriela Sabatini,118,93,25,18,,1,1,2,13 athletes with 1 medal
Argentina,15,1988 Winter,Julio Moreschi,15,10,5,4,,,,,
Argentina,16,1984 Summer,Ricardo Ibarra,81,71,10,14,,,,,
Argentina,17,1984 Winter,,18,13,5,3,,,,,
Argentina,18,1980 Winter,Abel Carlos Balda,13,13,0,3,,,,,
Argentina,19,1976 Summer,Hugo Aberastegui,69,65,4,12,,,,,
Argentina,20,1976 Winter,,8,8,0,2,,,,,
Argentina,21,1972 Summer,Carlos D'Elia,92,88,4,12,,1,,1,Alberto Demiddi (1 medal)
Argentina,22,1972 Winter,,2,2,0,1,,,,,
Argentina,23,1968 Summer,Carlos Moratorio,89,84,5,12,,,2,2,Mario Guilloti and Alberto Demiddi (1 medal)
Argentina,24,1968 Winter,,5,2,3,1,,,,,
Argentina,25,1964 Summer,Jeannette Campbell,102,96,6,14,,1,,1,Carlos Moratorio (1 medal)
Argentina,26,1964 Winter,,12,11,1,3,,,,,
Argentina,27,1960 Summer,Christina Hardekopf,92,91,1,15,,1,1,2,4 athletes with 1 medal
Argentina,28,1960 Winter,María Cristina Schweizer,6,5,1,2,,,,,
Argentina,29,1956 Summer,Isabel Avellán,28,27,1,8,,1,1,2,Víctor Zalazar and Humberto Selvetti (1 medal)
Argentina,30,1956 Equestrian,,7,7,0,1,,,,,
Argentina,31,1952 Summer,Delfo Cabrera,123,115,8,15,1,2,2,5,6 athletes with 1 medal
Argentina,32,1952 Winter,,12,11,1,2,,,,,
Argentina,33,1948 Summer,Alfredo Yantorno,199,188,11,16,3,3,1,7,11 athletes with 1 medal
Argentina,34,1948 Winter,,9,9,0,2,,,,,
Argentina,35,1936 Summer,Juan Carlos Zabala,51,50,1,8,2,2,3,7,11 athletes with 1 medal
Argentina,36,1932 Summer,Alberto Zorrilla,33,33,0,7,3,1,,4,4 athletes with 1 medal
Argentina,37,1928 Summer,Héctor Méndez,81,81,0,12,3,3,1,7,26 athletes with 1 medal
Argentina,38,1928 Winter,,10,10,0,1,,,,,
Argentina,39,1924 Summer,Enrique Thompson,77,77,0,11,1,3,2,6,10 athletes with 1 medal
Argentina,40,1920 Summer,,1,1,0,1,,,,,
Argentina,41,1908 Summer,,1,1,0,1,,,,,
Argentina,42,1900 Summer,,1,1,0,1,,,,,
Armenia,1,2014 Winter,Sergey Mikayelyan,4,3,1,2,,,,,
Armenia,2,2012 Summer,Arman Yeremyan,24,20,4,9,,1,2,3,3 athletes with 1 medal
Armenia,3,2010 Winter,Arsen Nersisyan,4,2,2,2,,,,,
